Village_Code,Town_Code,縣市,鄉鎮區,村里,KMT,DPP,PFP,KMT_rate,DPP_rate,PFP_rate,Valid_Votes,Invalid_Votes,Votes,Valid_People,Votes_Rate
6703700-008,6703700,台南市,中西區,福安里,183,441,43,0.274362819,0.661169415,0.064467766,667,4,671,956,0.701882845
6703700-009,6703700,台南市,中西區,法華里,494,924,193,0.306641837,0.573556797,0.119801366,1611,30,1641,2459,0.667344449
6703700-010,6703700,台南市,中西區,大南里,340,413,94,0.401416765,0.487603306,0.110979929,847,7,854,1200,0.711666667
6703700-011,6703700,台南市,中西區,開山里,246,779,122,0.214472537,0.679163034,0.106364429,1147,13,1160,1815,0.639118457
6703700-012,6703700,台南市,中西區,進學里,233,465,89,0.296060991,0.590851334,0.113087675,787,5,792,1142,0.69352014
6703700-013,6703700,台南市,中西區,建國里,170,467,77,0.238095238,0.654061625,0.107843137,714,6,720,1127,0.638864241
6703700-014,6703700,台南市,中西區,青年里,194,519,77,0.24556962,0.656962025,0.097468354,790,6,796,1191,0.668345928
6703700-015,6703700,台南市,中西區,永福里,155,525,61,0.209176788,0.708502024,0.082321188,741,8,749,1139,0.657594381
6703700-016,6703700,台南市,中西區,永華里,204,531,74,0.252163164,0.656365884,0.091470952,809,12,821,1203,0.682460515
6703700-017,6703700,台南市,中西區,天后里,235,559,78,0.269495413,0.641055046,0.089449541,872,14,886,1308,0.677370031
6703700-018,6703700,台南市,中西區,三民里,190,529,88,0.235439901,0.65551425,0.109045849,807,15,822,1240,0.662903226
6703700-019,6703700,台南市,中西區,萬昌里,221,820,95,0.194542254,0.721830986,0.083626761,1136,10,1146,1748,0.655606407
6703700-020,6703700,台南市,中西區,普濟里,167,400,48,0.271544715,0.650406504,0.07804878,615,4,619,1019,0.607458292
6703700-021,6703700,台南市,中西區,水仙里,159,521,71,0.21171771,0.693741678,0.094540613,751,15,766,1137,0.673702726
6703700-022,6703700,台南市,中西區,藥王里,507,1369,217,0.242236025,0.654085045,0.10367893,2093,20,2113,3172,0.666141236
6703700-023,6703700,台南市,中西區,協和里,259,874,125,0.205882353,0.694753577,0.09936407,1258,13,1271,2118,0.600094429
6703700-024,6703700,台南市,中西區,文賢里,159,622,100,0.180476731,0.706015891,0.113507378,881,5,886,1288,0.687888199
6703700-025,6703700,台南市,中西區,光賢里,501,1657,245,0.208489388,0.689554723,0.101955888,2403,24,2427,3411,0.711521548
6703700-026,6703700,台南市,中西區,元安里,190,560,74,0.230582524,0.67961165,0.089805825,824,10,834,1210,0.689256198
6703700-027,6703700,台南市,中西區,協進里,167,438,74,0.245949926,0.645066274,0.1089838,679,9,688,997,0.690070211
6703700-028,6703700,台南市,中西區,安海里,223,553,97,0.255441008,0.633447881,0.111111111,873,9,882,1424,0.619382022
6703700-029,6703700,台南市,中西區,民生里,262,803,103,0.224315068,0.6875,0.088184932,1168,15,1183,1754,0.674458381
6703700-030,6703700,台南市,中西區,中正里,145,499,80,0.200276243,0.689226519,0.110497238,724,18,742,1082,0.685767098
6703700-031,6703700,台南市,中西區,大涼里,468,1126,237,0.255598034,0.6149645,0.129437466,1831,22,1853,2765,0.670162749
6703700-032,6703700,台南市,中西區,民主里,134,418,74,0.214057508,0.667731629,0.118210863,626,9,635,929,0.683530678
6703700-033,6703700,台南市,中西區,西湖里,849,2042,368,0.260509359,0.626572568,0.112918073,3259,34,3293,4818,0.683478622
6703700-034,6703700,台南市,中西區,西賢里,799,1946,386,0.255190035,0.621526669,0.123283296,3131,42,3173,4609,0.688435669
6703700-035,6703700,台南市,中西區,三合里,251,737,113,0.227974569,0.669391462,0.102633969,1101,15,1116,1759,0.634451393
6703700-036,6703700,台南市,中西區,民權里,187,691,77,0.195811518,0.723560209,0.080628272,955,14,969,1433,0.676203768
6703700-037,6703700,台南市,中西區,保安里,143,488,70,0.203994294,0.696148359,0.099857347,701,12,713,1063,0.67074318
6703700-038,6703700,台南市,中西區,郡西里,155,475,70,0.221428571,0.678571429,0.1,700,7,707,1051,0.672692674
6702700-001,6702700,台南市,仁德區,太子里,642,2636,309,0.178979649,0.734875941,0.08614441,3587,46,3633,5141,0.706671854
6702700-002,6702700,台南市,仁德區,土庫里,279,1391,106,0.157094595,0.783220721,0.059684685,1776,16,1792,2490,0.719678715
6702700-003,6702700,台南市,仁德區,一甲里,365,1180,186,0.210860774,0.681686886,0.10745234,1731,22,1753,2562,0.684231069
6702700-004,6702700,台南市,仁德區,仁德里,1050,2818,496,0.24060495,0.645737855,0.113657195,4364,44,4408,6694,0.658500149
6702700-005,6702700,台南市,仁德區,仁義里,1344,3883,560,0.232244686,0.670986694,0.096768619,5787,77,5864,8684,0.675264855
6702700-006,6702700,台南市,仁德區,新田里,427,1425,230,0.205091258,0.68443804,0.110470701,2082,26,2108,3069,0.686868687
6702700-007,6702700,台南市,仁德區,後壁里,1083,3938,602,0.192601814,0.700337898,0.107060288,5623,92,5715,8487,0.673382821
6702700-008,6702700,台南市,仁德區,上崙里,610,2424,330,0.181331748,0.720570749,0.098097503,3364,38,3402,5043,0.674598453
6702700-009,6702700,台南市,仁德區,田厝里,194,636,69,0.215795328,0.707452725,0.076751947,899,15,914,1354,0.675036928
6702700-010,6702700,台南市,仁德區,三甲里,119,395,79,0.200674536,0.666104553,0.133220911,593,4,597,808,0.738861386
6702700-011,6702700,台南市,仁德區,保安里,368,1198,178,0.211009174,0.686926606,0.10206422,1744,20,1764,2622,0.672768879
6702700-012,6702700,台南市,仁德區,成功里,1050,1573,378,0.349883372,0.524158614,0.125958014,3001,40,3041,4540,0.669823789
6702700-013,6702700,台南市,仁德區,仁和里,552,86,134,0.715025907,0.111398964,0.17357513,772,18,790,1184,0.66722973
6702700-014,6702700,台南市,仁德區,仁愛里,331,382,136,0.389870436,0.449941107,0.160188457,849,12,861,1359,0.633554084
6702700-015,6702700,台南市,仁德區,二行里,278,934,153,0.203663004,0.684249084,0.112087912,1365,17,1382,2010,0.687562189
6702700-016,6702700,台南市,仁德區,大甲里,296,1034,114,0.20498615,0.716066482,0.078947368,1444,26,1470,2081,0.706391158
6702700-017,6702700,台南市,仁德區,中洲里,144,654,55,0.168815944,0.766705744,0.064478312,853,13,866,1282,0.67550702
6702700-018,6702700,台南市,仁德區,中生里,200,646,45,0.224466891,0.725028058,0.050505051,891,10,901,1359,0.662987491
6700900-001,6700900,台南市,六甲區,六甲里,359,1282,161,0.199223085,0.711431743,0.089345172,1802,26,1828,2831,0.64570823
6700900-002,6700900,台南市,六甲區,甲東里,283,1177,129,0.178099434,0.740717432,0.081183134,1589,37,1626,2573,0.631947143
6700900-003,6700900,台南市,六甲區,甲南里,161,616,72,0.189634865,0.725559482,0.084805654,849,6,855,1342,0.637108793
6700900-004,6700900,台南市,六甲區,龍湖里,95,484,47,0.151757188,0.773162939,0.075079872,626,5,631,1020,0.618627451
6700900-005,6700900,台南市,六甲區,七甲里,75,484,36,0.12605042,0.813445378,0.060504202,595,16,611,897,0.68115942
6700900-006,6700900,台南市,六甲區,二甲里,354,1473,185,0.175944334,0.732107356,0.09194831,2012,24,2036,3158,0.644711843
6700900-007,6700900,台南市,六甲區,水林里,228,1018,148,0.163558106,0.730272597,0.106169297,1394,27,1421,2104,0.675380228
6700900-008,6700900,台南市,六甲區,中社里,200,733,80,0.197433366,0.723593287,0.078973346,1013,14,1027,1583,0.648768162
6700900-009,6700900,台南市,六甲區,龜港里,147,500,88,0.2,0.680272109,0.119727891,735,3,738,1096,0.673357664
6700900-010,6700900,台南市,六甲區,菁埔里,69,281,35,0.179220779,0.72987013,0.090909091,385,8,393,604,0.650662252
6700900-011,6700900,台南市,六甲區,王爺里,68,314,33,0.163855422,0.756626506,0.079518072,415,7,422,752,0.561170213
6700900-012,6700900,台南市,六甲區,大丘里,68,237,30,0.202985075,0.707462687,0.089552239,335,2,337,643,0.524105754
6701700-001,6701700,台南市,北門區,保吉里,172,525,64,0.226018397,0.689881735,0.084099869,761,8,769,1350,0.56962963
6701700-002,6701700,台南市,北門區,雙春里,61,181,25,0.228464419,0.677902622,0.093632959,267,4,271,485,0.558762887
6701700-003,6701700,台南市,北門區,東壁里,64,284,59,0.157248157,0.697788698,0.144963145,407,6,413,762,0.541994751
6701700-004,6701700,台南市,北門區,鯤江里,58,337,49,0.130630631,0.759009009,0.11036036,444,5,449,759,0.591567852
6701700-005,6701700,台南市,北門區,北門里,125,356,42,0.239005736,0.680688337,0.080305927,523,6,529,856,0.617990654
6701700-006,6701700,台南市,北門區,錦湖里,70,399,38,0.138067061,0.786982249,0.07495069,507,4,511,975,0.524102564
6701700-007,6701700,台南市,北門區,三光里,102,562,55,0.1418637,0.781641168,0.076495132,719,8,727,1174,0.619250426
6701700-008,6701700,台南市,北門區,仁里里,84,276,19,0.221635884,0.72823219,0.050131926,379,1,380,632,0.601265823
6701700-009,6701700,台南市,北門區,玉港里,89,347,36,0.188559322,0.735169492,0.076271186,472,4,476,749,0.635514019
6701700-010,6701700,台南市,北門區,中樞里,46,320,26,0.117346939,0.816326531,0.066326531,392,4,396,673,0.588410104
6701700-011,6701700,台南市,北門區,慈安里,74,282,43,0.185463659,0.706766917,0.107769424,399,7,406,723,0.561549101
6701700-012,6701700,台南市,北門區,永華里,29,152,12,0.150259067,0.787564767,0.062176166,193,3,196,368,0.532608696
6701700-013,6701700,台南市,北門區,永隆里,108,112,26,0.43902439,0.455284553,0.105691057,246,2,248,509,0.487229862
6703400-001,6703400,台南市,北區,開元里,355,937,191,0.239379636,0.631827377,0.128792987,1483,18,1501,2192,0.684762774
6703400-002,6703400,台南市,北區,新勝里,318,648,104,0.297196262,0.605607477,0.097196262,1070,23,1093,1691,0.646363099
6703400-003,6703400,台南市,北區,勝安里,224,414,78,0.312849162,0.578212291,0.108938547,716,11,727,1097,0.6627165
6703400-004,6703400,台南市,北區,東興里,520,708,146,0.37845706,0.515283843,0.106259098,1374,18,1392,2034,0.684365782
6703400-005,6703400,台南市,北區,力行里,462,901,199,0.295774648,0.576824584,0.127400768,1562,26,1588,2331,0.681252681
6703400-006,6703400,台南市,北區,華興里,375,920,173,0.255449591,0.626702997,0.117847411,1468,11,1479,2102,0.703615604
6703400-007,6703400,台南市,北區,振興里,308,710,117,0.271365639,0.625550661,0.1030837,1135,17,1152,1744,0.660550459
6703400-008,6703400,台南市,北區,仁愛里,375,731,135,0.302175665,0.589041096,0.108783239,1241,12,1253,1812,0.691501104
6703400-009,6703400,台南市,北區,大仁里,281,492,110,0.318233296,0.557191393,0.124575311,883,13,896,1435,0.624390244
6703400-010,6703400,台南市,北區,大山里,281,492,110,0.318233296,0.557191393,0.124575311,883,13,896,1435,0.624390244
6703400-011,6703400,台南市,北區,大道里,843,332,214,0.606911447,0.239020878,0.154067675,1389,15,1404,2156,0.651205937
6703400-012,6703400,台南市,北區,光武里,408,346,132,0.460496614,0.390519187,0.148984199,886,13,899,1386,0.648629149
6703400-013,6703400,台南市,北區,實踐里,472,617,203,0.365325077,0.47755418,0.157120743,1292,12,1304,1947,0.669748331
6703400-014,6703400,台南市,北區,小康里,344,868,167,0.249456128,0.629441624,0.121102248,1379,21,1400,2082,0.672430355
6703400-015,6703400,台南市,北區,正風里,183,689,93,0.189637306,0.713989637,0.096373057,965,10,975,1399,0.696926376
6703400-016,6703400,台南市,北區,延平里,231,723,134,0.212316176,0.664522059,0.123161765,1088,20,1108,1624,0.68226601
6703400-017,6703400,台南市,北區,興北里,224,615,86,0.242162162,0.664864865,0.092972973,925,10,935,1333,0.701425356
6703400-018,6703400,台南市,北區,大豐里,538,2009,300,0.188970847,0.705655076,0.105374078,2847,32,2879,4316,0.667052827
6703400-019,6703400,台南市,北區,重興里,457,820,161,0.317802503,0.570236439,0.111961057,1438,15,1453,2102,0.691246432
6703400-020,6703400,台南市,北區,和順里,1023,2694,474,0.244094488,0.642806013,0.113099499,4191,41,4232,6378,0.663530887
6703400-021,6703400,台南市,北區,國姓里,191,688,114,0.192346425,0.69284995,0.114803625,993,9,1002,1447,0.692467173
6703400-022,6703400,台南市,北區,六甲里,377,975,191,0.244329229,0.631885936,0.123784835,1543,18,1561,2423,0.644242674
6703400-023,6703400,台南市,北區,正覺里,441,1579,202,0.198469847,0.710621062,0.090909091,2222,25,2247,3240,0.693518519
6703400-024,6703400,台南市,北區,成功里,589,1868,331,0.211262554,0.670014347,0.118723099,2788,26,2814,4097,0.686844032
6703400-025,6703400,台南市,北區,文元里,804,2697,431,0.204476094,0.685910478,0.109613428,3932,44,3976,5836,0.681288554
6703400-026,6703400,台南市,北區,大港里,783,2255,365,0.230091096,0.662650602,0.107258301,3403,45,3448,5144,0.67029549
6703400-027,6703400,台南市,北區,國興里,271,624,131,0.264132554,0.608187135,0.127680312,1026,7,1033,1537,0.672088484
6703400-028,6703400,台南市,北區,裕民里,223,654,92,0.230134159,0.674922601,0.09494324,969,9,978,1392,0.702586207
6703400-029,6703400,台南市,北區,安民里,194,579,51,0.235436893,0.702669903,0.061893204,824,10,834,1199,0.69557965
6703400-030,6703400,台南市,北區,興南里,213,647,127,0.215805471,0.655521783,0.128672746,987,15,1002,1534,0.653194263
6703400-031,6703400,台南市,北區,長榮里,1020,410,299,0.589936379,0.23713129,0.172932331,1729,22,1751,2614,0.669854629
6703400-032,6703400,台南市,北區,中樓里,263,586,111,0.273958333,0.610416667,0.115625,960,13,973,1483,0.656102495
6703400-033,6703400,台南市,北區,公園里,341,621,140,0.309437387,0.563520871,0.127041742,1102,16,1118,1758,0.635949943
6703400-034,6703400,台南市,北區,玉皇里,238,650,88,0.243852459,0.665983607,0.090163934,976,5,981,1495,0.656187291
6703400-035,6703400,台南市,北區,長德里,192,565,75,0.230769231,0.679086538,0.090144231,832,8,840,1252,0.670926518
6703400-036,6703400,台南市,北區,三德里,179,511,75,0.233986928,0.667973856,0.098039216,765,8,773,1147,0.673931997
6703400-037,6703400,台南市,北區,五福里,151,456,81,0.219476744,0.662790698,0.117732558,688,16,704,1534,0.4589309
6703400-038,6703400,台南市,北區,元寶里,457,1065,256,0.257030371,0.598987627,0.143982002,1778,17,1795,2879,0.623480375
6703400-039,6703400,台南市,北區,永祥里,577,1143,233,0.295442908,0.585253456,0.119303635,1953,23,1976,2845,0.694551845
6703400-040,6703400,台南市,北區,成德里,1576,4537,864,0.225885051,0.65027949,0.123835459,6977,84,7061,10565,0.668338855
6703400-041,6703400,台南市,北區,文成里,515,1503,234,0.228685613,0.66740675,0.103907638,2252,22,2274,3268,0.695838433
6703400-042,6703400,台南市,北區,大和里,451,1721,276,0.184232026,0.703022876,0.112745098,2448,25,2473,3515,0.703556188
6703400-043,6703400,台南市,北區,賢北里,530,1554,306,0.221757322,0.650209205,0.128033473,2390,31,2421,3415,0.708931186
6702600-001,6702600,台南市,左鎮區,光和里,61,139,24,0.272321429,0.620535714,0.107142857,224,6,230,396,0.580808081
6702600-002,6702600,台南市,左鎮區,榮和里,77,298,23,0.193467337,0.748743719,0.057788945,398,8,406,648,0.62654321
6702600-003,6702600,台南市,左鎮區,左鎮里,63,187,16,0.236842105,0.703007519,0.060150376,266,10,276,470,0.587234043
6702600-004,6702600,台南市,左鎮區,中正里,119,279,70,0.254273504,0.596153846,0.14957265,468,6,474,777,0.61003861
6702600-005,6702600,台南市,左鎮區,睦光里,56,151,34,0.232365145,0.626556017,0.141078838,241,1,242,366,0.661202186
6702600-006,6702600,台南市,左鎮區,內庄里,106,136,18,0.407692308,0.523076923,0.069230769,260,4,264,413,0.639225182
6702600-007,6702600,台南市,左鎮區,澄山里,54,235,19,0.175324675,0.762987013,0.061688312,308,6,314,515,0.609708738
6702600-008,6702600,台南市,左鎮區,岡林里,52,188,18,0.201550388,0.728682171,0.069767442,258,4,262,434,0.603686636
6702600-009,6702600,台南市,左鎮區,草山里,36,118,13,0.215568862,0.706586826,0.077844311,167,4,171,319,0.536050157
6702600-010,6702600,台南市,左鎮區,二寮里,18,109,11,0.130434783,0.789855072,0.079710145,138,3,141,202,0.698019802
6703100-001,6703100,台南市,永康區,五王里,850,2100,461,0.249193785,0.615655233,0.135150982,3411,41,3452,5436,0.635025754
6703100-002,6703100,台南市,永康區,網寮里,865,2587,491,0.21937611,0.656099417,0.124524474,3943,50,3993,6122,0.652237831
6703100-003,6703100,台南市,永康區,永康里,960,3240,503,0.204125027,0.688921965,0.106953009,4703,43,4746,8281,0.573119189
6703100-004,6703100,台南市,永康區,埔園里,1076,4425,747,0.172215109,0.708226633,0.119558259,6248,53,6301,9446,0.667054838
6703100-005,6703100,台南市,永康區,大橋里,832,2194,425,0.241089539,0.635757751,0.123152709,3451,38,3489,5411,0.644797634
6703100-006,6703100,台南市,永康區,王行里,264,1211,123,0.165206508,0.757822278,0.076971214,1598,17,1615,2386,0.676865046
6703100-007,6703100,台南市,永康區,烏竹里,326,1185,195,0.19109027,0.694607268,0.114302462,1706,15,1721,2486,0.69227675
6703100-008,6703100,台南市,永康區,蔦松里,222,787,116,0.197333333,0.699555556,0.103111111,1125,9,1134,1715,0.66122449
6703100-009,6703100,台南市,永康區,三民里,200,659,109,0.20661157,0.680785124,0.112603306,968,13,981,1370,0.716058394
6703100-010,6703100,台南市,永康區,?行里,978,3625,610,0.187607903,0.695376942,0.117015154,5213,46,5259,8115,0.64805915
6703100-011,6703100,台南市,永康區,甲頂里,322,1066,181,0.205226259,0.679413639,0.115360102,1569,21,1590,2231,0.712684895
6703100-012,6703100,台南市,永康區,大灣里,420,1620,231,0.184940555,0.71334214,0.101717305,2271,24,2295,3336,0.68794964
6703100-013,6703100,台南市,永康區,東灣里,447,1727,243,0.184940008,0.714522135,0.100537857,2417,20,2437,3585,0.679776848
6703100-014,6703100,台南市,永康區,西灣里,907,3238,549,0.193225394,0.689816787,0.116957818,4694,49,4743,6891,0.688289073
6703100-015,6703100,台南市,永康區,南灣里,425,1862,247,0.167719021,0.73480663,0.097474349,2534,18,2552,3721,0.685837141
6703100-016,6703100,台南市,永康區,崑山里,832,2692,407,0.211650979,0.684813025,0.103535996,3931,44,3975,5771,0.688788771
6703100-017,6703100,台南市,永康區,北灣里,1060,3754,541,0.197945845,0.701027077,0.101027077,5355,53,5408,8089,0.668562245
6703100-018,6703100,台南市,永康區,新樹里,146,796,81,0.142717498,0.778103617,0.079178886,1023,16,1039,1439,0.722029187
6703100-019,6703100,台南市,永康區,復興里,589,403,154,0.513961606,0.351657941,0.134380454,1146,15,1161,1937,0.599380485
6703100-020,6703100,台南市,永康區,復國里,1574,2550,728,0.324402308,0.525556472,0.15004122,4852,50,4902,7607,0.644406468
6703100-021,6703100,台南市,永康區,建國里,505,383,188,0.469330855,0.355947955,0.17472119,1076,11,1087,1678,0.647794994
6703100-022,6703100,台南市,永康區,神洲里,272,310,103,0.397080292,0.452554745,0.150364964,685,6,691,1137,0.607739666
6703100-023,6703100,台南市,永康區,西勢里,753,2828,464,0.186155748,0.699134734,0.114709518,4045,44,4089,6103,0.669998361
6703100-024,6703100,台南市,永康區,成功里,689,442,213,0.51264881,0.328869048,0.158482143,1344,22,1366,2088,0.654214559
6703100-025,6703100,台南市,永康區,中興里,738,1145,297,0.33853211,0.525229358,0.136238532,2180,28,2208,3301,0.668888216
6703100-026,6703100,台南市,永康區,勝利里,1425,2504,612,0.313807531,0.551420392,0.134772077,4541,61,4602,7147,0.643906534
6703100-027,6703100,台南市,永康區,龍潭里,1161,4297,706,0.18835172,0.697112265,0.114536016,6164,66,6230,9703,0.642069463
6703100-028,6703100,台南市,永康區,光復里,154,105,50,0.498381877,0.339805825,0.161812298,309,5,314,523,0.600382409
6703100-029,6703100,台南市,永康區,?洲里,709,2568,398,0.19292517,0.69877551,0.10829932,3675,41,3716,5481,0.677978471
6703100-030,6703100,台南市,永康區,二王里,1283,2832,588,0.272804593,0.602168828,0.125026579,4703,63,4766,7369,0.646763469
6703100-031,6703100,台南市,永康區,六合里,891,1987,461,0.266846361,0.59508835,0.138065289,3339,47,3386,5129,0.660167674
6703100-032,6703100,台南市,永康區,三合里,523,1323,257,0.248692344,0.629101284,0.122206372,2103,21,2124,3301,0.643441381
6703100-033,6703100,台南市,永康區,東橋里,616,1893,298,0.219451372,0.674385465,0.106163164,2807,26,2833,4178,0.678075634
6703100-034,6703100,台南市,永康區,安康里,602,1761,372,0.220109689,0.643875686,0.136014625,2735,48,2783,4588,0.606582389
6703100-035,6703100,台南市,永康區,西橋里,442,1252,257,0.226550487,0.641722194,0.131727319,1951,30,1981,3050,0.649508197
6703100-036,6703100,台南市,永康區,尚頂里,485,1698,268,0.197878417,0.692778458,0.109343125,2451,27,2478,3664,0.676310044
6703100-037,6703100,台南市,永康區,復華里,1515,3083,826,0.279314159,0.568399705,0.152286136,5424,57,5481,8606,0.636881246
6703100-038,6703100,台南市,永康區,正強里,1053,3207,531,0.219787101,0.669380088,0.110832812,4791,43,4834,7225,0.669065744
6703100-039,6703100,台南市,永康區,中華里,601,976,236,0.33149476,0.538334253,0.130170987,1813,25,1838,2671,0.688131786
6702300-001,6702300,台南市,玉井區,玉井里,197,256,55,0.387795276,0.503937008,0.108267717,508,5,513,793,0.646910467
6702300-002,6702300,台南市,玉井區,玉田里,730,1301,343,0.307497894,0.548020219,0.144481887,2374,17,2391,3971,0.602115336
6702300-003,6702300,台南市,玉井區,中正里,203,447,74,0.28038674,0.617403315,0.102209945,724,15,739,1221,0.605241605
6702300-004,6702300,台南市,玉井區,竹圍里,242,524,86,0.284037559,0.615023474,0.100938967,852,10,862,1391,0.619698059
6702300-005,6702300,台南市,玉井區,沙田里,118,147,28,0.402730375,0.501706485,0.09556314,293,5,298,506,0.588932806
6702300-006,6702300,台南市,玉井區,三埔里,72,167,37,0.260869565,0.605072464,0.134057971,276,4,280,494,0.566801619
6702300-007,6702300,台南市,玉井區,三和里,117,278,61,0.256578947,0.609649123,0.13377193,456,3,459,738,0.62195122
6702300-008,6702300,台南市,玉井區,望明里,239,544,94,0.272519954,0.620296465,0.10718358,877,14,891,1485,0.6
6702300-009,6702300,台南市,玉井區,層林里,103,220,59,0.269633508,0.57591623,0.154450262,382,1,383,630,0.607936508
6702300-010,6702300,台南市,玉井區,豐里里,156,320,89,0.276106195,0.566371681,0.157522124,565,7,572,991,0.577194753
6700300-001,6700300,台南市,白河區,白河里,245,711,85,0.235350624,0.682997118,0.081652257,1041,17,1058,1697,0.623453153
6700300-002,6700300,台南市,白河區,永安里,383,1255,126,0.217120181,0.711451247,0.071428571,1764,23,1787,2835,0.630335097
6700300-003,6700300,台南市,白河區,外角里,142,601,70,0.174661747,0.739237392,0.086100861,813,11,824,1360,0.605882353
6700300-004,6700300,台南市,白河區,庄內里,179,685,100,0.185684647,0.710580913,0.10373444,964,18,982,1584,0.619949495
6700300-005,6700300,台南市,白河區,秀祐里,97,380,41,0.187258687,0.733590734,0.079150579,518,7,525,885,0.593220339
6700300-006,6700300,台南市,白河區,河東里,137,607,58,0.170822943,0.756857855,0.072319202,802,12,814,1305,0.623754789
6700300-007,6700300,台南市,白河區,虎山里,48,205,20,0.175824176,0.750915751,0.073260073,273,7,280,453,0.618101545
6700300-008,6700300,台南市,白河區,大林里,45,282,27,0.127118644,0.796610169,0.076271186,354,7,361,611,0.590834697
6700300-009,6700300,台南市,白河區,崁頭里,31,165,20,0.143518519,0.763888889,0.092592593,216,3,219,378,0.579365079
6700300-010,6700300,台南市,白河區,六溪里,42,205,23,0.155555556,0.759259259,0.085185185,270,7,277,537,0.515828678
6700300-011,6700300,台南市,白河區,仙草里,235,490,74,0.294117647,0.613266583,0.09261577,799,18,817,1396,0.585243553
6700300-012,6700300,台南市,白河區,關嶺里,133,419,59,0.217675941,0.685761047,0.096563011,611,5,616,1073,0.574091333
6700300-013,6700300,台南市,白河區,玉豐里,145,528,77,0.193333333,0.704,0.102666667,750,7,757,1201,0.630308077
6700300-014,6700300,台南市,白河區,大竹里,174,607,64,0.20591716,0.718343195,0.075739645,845,15,860,1440,0.597222222
6700300-015,6700300,台南市,白河區,詔安里,74,392,28,0.149797571,0.793522267,0.056680162,494,10,504,841,0.599286564
6700300-016,6700300,台南市,白河區,廣安里,78,270,26,0.20855615,0.721925134,0.069518717,374,8,382,639,0.597809077
6700300-017,6700300,台南市,白河區,蓮潭里,84,457,38,0.14507772,0.789291883,0.065630397,579,11,590,864,0.68287037
6700300-018,6700300,台南市,白河區,竹門里,133,359,39,0.25047081,0.676082863,0.073446328,531,15,546,880,0.620454545
6700300-019,6700300,台南市,白河區,崎內里,113,278,32,0.26713948,0.657210402,0.075650118,423,5,428,731,0.585499316
6700300-020,6700300,台南市,白河區,昇安里,149,617,66,0.179086538,0.741586538,0.079326923,832,18,850,1310,0.648854962
6700300-021,6700300,台南市,白河區,汴頭里,60,365,14,0.13667426,0.83143508,0.031890661,439,9,448,735,0.60952381
6700300-022,6700300,台南市,白河區,內角里,79,342,37,0.172489083,0.746724891,0.080786026,458,8,466,713,0.653576438
6700300-023,6700300,台南市,白河區,草店里,118,318,50,0.242798354,0.654320988,0.102880658,486,5,491,844,0.581753555
6700300-024,6700300,台南市,白河區,甘宅里,49,258,17,0.151234568,0.796296296,0.052469136,324,5,329,601,0.547420965
6703600-001,6703600,台南市,安平區,西門里,202,539,114,0.23625731,0.630409357,0.133333333,855,11,866,1307,0.662586075
6703600-002,6703600,台南市,安平區,金城里,367,662,183,0.302805281,0.54620462,0.150990099,1212,19,1231,1874,0.656883671
6703600-003,6703600,台南市,安平區,石門里,264,981,156,0.188436831,0.700214133,0.111349036,1401,13,1414,2114,0.668874172
6703600-004,6703600,台南市,安平區,漁光里,59,215,26,0.196666667,0.716666667,0.086666667,300,6,306,449,0.681514477
6703600-005,6703600,台南市,安平區,建平里,655,1795,359,0.233179067,0.639017444,0.127803489,2809,31,2840,4411,0.643844933
6703600-006,6703600,台南市,安平區,怡平里,531,1484,318,0.227603943,0.63609087,0.136305186,2333,25,2358,3811,0.61873524
6703600-007,6703600,台南市,安平區,華平里,743,1725,372,0.261619718,0.607394366,0.130985915,2840,31,2871,4526,0.634334954
6703600-008,6703600,台南市,安平區,平通里,932,2491,530,0.235770301,0.630154313,0.134075386,3953,41,3994,6697,0.596386442
6703600-009,6703600,台南市,安平區,文平里,794,1945,395,0.253350351,0.620612636,0.126037013,3134,34,3168,4556,0.695346795
6703600-010,6703600,台南市,安平區,國平里,1003,2288,528,0.262634197,0.599109715,0.138256088,3819,37,3856,5975,0.645355649
6703600-011,6703600,台南市,安平區,育平里,1018,2495,584,0.248474494,0.608982182,0.142543324,4097,38,4135,6827,0.605683316
6703600-012,6703600,台南市,安平區,億載里,432,1049,204,0.256379822,0.622551929,0.121068249,1685,24,1709,2548,0.670722135
6703600-013,6703600,台南市,安平區,海頭里,205,650,99,0.214884696,0.681341719,0.103773585,954,14,968,1484,0.652291105
6703600-014,6703600,台南市,安平區,港仔里,156,632,78,0.180138568,0.729792148,0.090069284,866,9,875,1277,0.685199687
6703600-015,6703600,台南市,安平區,平安里,507,1459,211,0.232889297,0.670188333,0.09692237,2177,20,2197,3303,0.665152891
6702100-001,6702100,台南市,安定區,蘇林里,316,1040,101,0.216884008,0.71379547,0.069320522,1457,20,1477,2119,0.697026899
6702100-002,6702100,台南市,安定區,蘇厝里,224,937,128,0.173778123,0.726920093,0.099301784,1289,22,1311,1963,0.667855323
6702100-003,6702100,台南市,安定區,安定里,165,704,69,0.175906183,0.750533049,0.073560768,938,18,956,1424,0.671348315
6702100-004,6702100,台南市,安定區,安加里,154,602,53,0.190358467,0.744128554,0.065512979,809,16,825,1241,0.664786463
6702100-005,6702100,台南市,安定區,保西里,122,317,40,0.254697286,0.661795407,0.083507307,479,11,490,766,0.639686684
6702100-006,6702100,台南市,安定區,港尾里,177,735,97,0.175421209,0.728444004,0.096134787,1009,11,1020,1504,0.678191489
