Village_Code,Town_Code,縣市,鄉鎮區,村里,KMT,DPP,PFP,KMT_rate,DPP_rate,PFP_rate,Valid_Votes,Invalid_Votes,Votes,Valid_People,Votes_Rate
6601500-009,6601500,台中市,后里區,墩北里,658,1384,339,0.276354473,0.581268375,0.142377152,2381,46,2427,3265,0.743338438
6601500-010,6601500,台中市,后里區,中和里,418,1042,237,0.24631703,0.61402475,0.13965822,1697,29,1726,2320,0.743965517
6601500-011,6601500,台中市,后里區,舊社里,316,837,215,0.230994152,0.611842105,0.157163743,1368,25,1393,1890,0.737037037
6601500-012,6601500,台中市,后里區,聯合里,293,670,131,0.267824497,0.612431444,0.119744059,1094,19,1113,1535,0.725081433
6601500-013,6601500,台中市,后里區,太平里,396,822,220,0.275382476,0.57162726,0.152990264,1438,20,1458,2087,0.698610446
6601500-014,6601500,台中市,后里區,眉山里,638,1132,325,0.304534606,0.540334129,0.155131265,2095,37,2132,3005,0.709484193
6601500-015,6601500,台中市,后里區,泰安里,186,555,131,0.213302752,0.63646789,0.150229358,872,17,889,1239,0.717514124
6601500-016,6601500,台中市,后里區,公館里,346,884,191,0.2434905,0.622097115,0.134412386,1421,22,1443,2035,0.709090909
6601500-017,6601500,台中市,后里區,月眉里,294,777,145,0.241776316,0.638980263,0.119243421,1216,21,1237,1697,0.728933412
6601500-018,6601500,台中市,后里區,義德里,631,854,282,0.357102434,0.483305037,0.15959253,1767,31,1798,2561,0.702069504
6600600-001,6600600,台中市,西屯區,西安里,904,1673,435,0.300132802,0.555444887,0.144422311,3012,47,3059,4402,0.694911404
6600600-002,6600600,台中市,西屯區,西墩里,805,1665,426,0.277969613,0.574930939,0.147099448,2896,37,2933,4295,0.682887078
6600600-003,6600600,台中市,西屯區,潮洋里,821,1442,406,0.307605845,0.540277257,0.152116898,2669,38,2707,4729,0.57242546
6600600-004,6600600,台中市,西屯區,龍潭里,127,409,61,0.212730318,0.685092127,0.102177554,597,6,603,813,0.741697417
6600600-005,6600600,台中市,西屯區,惠來里,2485,3457,1079,0.353938185,0.492380003,0.153681812,7021,110,7131,11082,0.643475907
6600600-006,6600600,台中市,西屯區,上石里,884,1359,513,0.320754717,0.493105951,0.186139332,2756,30,2786,4358,0.639284075
6600600-007,6600600,台中市,西屯區,逢甲里,836,1315,414,0.325925926,0.512670565,0.161403509,2565,46,2611,3998,0.653076538
6600600-008,6600600,台中市,西屯區,鵬程里,1199,243,335,0.674732696,0.136747327,0.188519977,1777,35,1812,2685,0.674860335
6600600-009,6600600,台中市,西屯區,何安里,926,1779,433,0.295092416,0.566921606,0.137985978,3138,37,3175,4829,0.657486022
6600600-010,6600600,台中市,西屯區,何厝里,550,1124,316,0.27638191,0.564824121,0.15879397,1990,25,2015,2986,0.674815807
6600600-011,6600600,台中市,西屯區,大河里,639,1532,396,0.248928711,0.59680561,0.15426568,2567,30,2597,3613,0.718793247
6600600-012,6600600,台中市,西屯區,大石里,962,177,282,0.676988037,0.124560169,0.198451795,1421,30,1451,2172,0.668047882
6600600-013,6600600,台中市,西屯區,大福里,746,959,321,0.368213228,0.473346496,0.158440276,2026,34,2060,3080,0.668831169
6600600-014,6600600,台中市,西屯區,大鵬里,1029,1473,463,0.347048904,0.496795953,0.156155143,2965,44,3009,4464,0.67405914
6600600-015,6600600,台中市,西屯區,港尾里,869,1749,530,0.276048285,0.555590851,0.168360864,3148,37,3185,4474,0.711890925
6600600-016,6600600,台中市,西屯區,廣福里,377,1111,205,0.22268163,0.656231542,0.121086828,1693,17,1710,2307,0.741222367
6600600-017,6600600,台中市,西屯區,林厝里,670,1181,314,0.309468822,0.545496536,0.145034642,2165,32,2197,3126,0.702815099
6600600-018,6600600,台中市,西屯區,永安里,2324,3515,1151,0.332474964,0.50286123,0.164663805,6990,118,7108,11134,0.638404886
6600600-019,6600600,台中市,西屯區,福安里,590,867,241,0.347467609,0.510600707,0.141931684,1698,20,1718,2430,0.706995885
6600600-020,6600600,台中市,西屯區,協和里,1074,2132,559,0.285258964,0.56626826,0.148472776,2601,39,2640,3889,0.678837747
6600600-021,6600600,台中市,西屯區,何仁里,1098,2163,596,0.28467721,0.560798548,0.154524242,3857,38,3895,5840,0.666952055
6600600-022,6600600,台中市,西屯區,何德里,671,1262,365,0.291993037,0.549173194,0.158833768,2298,26,2324,3447,0.674209457
6600600-023,6600600,台中市,西屯區,何源里,1349,2092,676,0.327665776,0.508136993,0.164197231,4117,45,4162,6222,0.668916747
6600600-024,6600600,台中市,西屯區,西平里,1193,1319,531,0.392047322,0.433453828,0.17449885,3043,39,3082,4673,0.65953349
6600600-025,6600600,台中市,西屯區,何南里,879,1428,428,0.321389397,0.522120658,0.156489945,2735,30,2765,3986,0.693677873
6600600-026,6600600,台中市,西屯區,至善里,865,1330,423,0.330404889,0.50802139,0.16157372,2618,33,2651,3895,0.680616175
6600600-027,6600600,台中市,西屯區,上安里,913,1446,502,0.319119189,0.505417686,0.175463125,2861,37,2898,4475,0.647597765
6600600-028,6600600,台中市,西屯區,上德里,888,1336,439,0.333458505,0.501689824,0.164851671,2663,40,2703,3905,0.692189501
6600600-029,6600600,台中市,西屯區,逢福里,1128,1616,575,0.339861404,0.486893643,0.173244953,3319,46,3365,4916,0.684499593
6600600-030,6600600,台中市,西屯區,何明里,692,1347,369,0.287375415,0.559385382,0.153239203,2408,30,2438,3546,0.687535251
6600600-031,6600600,台中市,西屯區,何成里,1354,2244,731,0.312774313,0.518364518,0.168861169,4329,60,4389,6631,0.661891117
6600600-032,6600600,台中市,西屯區,何福里,819,1591,486,0.282803867,0.549378453,0.16781768,2896,40,2936,4136,0.709864603
6600600-033,6600600,台中市,西屯區,福和里,645,1726,369,0.23540146,0.629927007,0.134671533,2740,46,2786,3892,0.715827338
6600600-034,6600600,台中市,西屯區,福中里,633,1098,294,0.312592593,0.542222222,0.145185185,2025,27,2052,3009,0.681954138
6600600-035,6600600,台中市,西屯區,福恩里,578,936,310,0.316885965,0.513157895,0.16995614,1824,33,1857,2728,0.680718475
